"","X2017_CPH12_S57","X2017_CPH13_S58","X2017_CPH15_S59","X2017_CPH16_S60","X2017_CPH17_S61","X2017_CPH18_S62","X2017_CPH20_S63","X2017_CPH24_S64","X2017_CPH25_S65","X2017_CPH3_S66","X2017_CPH30_S67","X2017_CPH31_S68","X2017_CPH32_S69","X2017_CPH33_S70","X2017_CPH34_S71","X2017_CPH36_S72","X2017_CPH37_S73","X2017_CPH40_S75","X2017_CPH41_S76","X2017_CPH43_S77","X2017_CPH44_S78","X2017_CPH48_S79","X2017_CPH50_S81","X2017_CPH54_S82","X2017_CPH61_S84","X2017_CPH67_S85","X2017_CPH68_S86","X2017_CPH7_S87","X2017_CPH71_S88","X2017_CPH77_S89","X2017_CPH79_S90","X2017_CPH8_S91","X2017_CPH82_S92","X2017_CPH86_S93","X2017_CPH87_S94","X2017_CPH88_S95","X2017_CPH9_S96","X2017_CPH90_S97","X2020_t0_CPH13_S101","X2020_t0_CPH14_S102","X2020_t0_CPH16_S104","X2020_t0_CPH19_S107","X2020_t0_CPH20_S109","X2020_t0_CPH25_S112","X2020_t0_CPH28_S115","X2020_t0_CPH29_S116","X2020_t0_CPH32_S120","X2020_t0_CPH39_S127","X2020_t0_CPH42_S131","X2020_t0_CPH51_S141","X2020_t0_CPH6_S150","X2020_t0_CPH67_S158","X2020_t0_CPH69_S160","X2020_t0_CPH72_S164","X2020_t0_CPH73_S165","X2020_t0_CPH78_S170","X2020_t0_CPH8_S172","X2020_t0_CPH85_S178","X2020_t0_CPH91_S185","X2020_t0_CPH93_S187","X17_18_001WR_S4","X17_18_003TB_S5","X17_18_005JB_S6","X17_18_011AS_S7","X17_18_014DM_S8","X17_18_016AB_S10","X17_18_017AF_S11","X17_18_018SD_S12","X17_18_020DH_S13","X17_18_021KD_S14","X17_18_022MB_S15","X17_18_026SM_S17","X17_18_027PL_S18","X17_18_028LB_S19","X17_18_029AS_S20","X17_18_031XK_S22","X17_18_034MJC_S25","X17_18_037SD_S27","X17_18_038WP_S28","X17_18_039DK_S29","X17_18_041JW_S31","X17_18_043BA_S32","X17_18_044JC_S33","X17_18_046IC_S34","X17_18_047AJ_S35","X17_18_048LW_S36","X17_18_050JMC_S38","X17_18_053AT_S41","X17_18_054RT_S42","X17_18_055GP_S43","X17_18_056SB_S44","X17_19_059OC_S45","X17_19_061LC_S46","X17_18_032AM_S23","X17_18_049CS_S37","X17_20_072CS_S53","X17_18_015ES_S9","X17_18_030LO_S21","X17_18_025MA_S16","X17_18_040RO_S30","X17_19_064WC_S47"
"hsa-miR-326",0,0,0,0.0598112738117348,0.110329853983967,0,0,0,0,0,0,0.0385964622304336,0,0,0.055616175463872,0,0,0,0.0608966832358211,0,0.0972005109862418,0.046512729619134,0.0747933023188755,0,0,0.0989577365624678,0,0,0.111002554483265,0,0,0.571477674494461,0.0584651362836991,0.157718807502754,0,0.0901814015894466,0.0540280099690712,0,0,0,0.054662433436583,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.11963809532863,0,0.0651261050066669,-0.0745232056238511,0.188949290649673,-0.0871560308450918,0.102744818767319,-0.0216928646732258,-0.0561170254189268,0.0812896346364949,-0.144165536535205,-0.0335237381373549,0.0936371259011438,-0.024498879176912,-0.13634145696458,-0.0324872618264899,0.479744194843756,0.286106466687731,-0.0766062270926914,-0.0247341186701433,0.0942889248131984,0.00141439810905708,-0.00196412838059925,0.120023514952701,-0.112475279625138,0.0644608743247357,0.0976282586709432,0.00105595634469689,-0.0204130628129339,0.159071065805751,-0.00104623003929684,0.0194513590487253,0.000223478889647696,-0.0183676203983724,-0.0117351892922299,0.430692446225902,0.0119014893756495,-0.00718618532842994,-0.0235765456986875,-0.0421996726553074,-0.0598872498155381,0.0113534427313812,0.0790740740951226,-0.0323108976023835
"hsa-miR-145-5p",0,0,0.0561912835034212,0,0,0,0.0609284350068228,0,0,0,0,0.0411173560924774,0,0,0.0743734091402348,0,0,0,0,0,0.0523334187119846,0.0286806153166317,0.0504785017785545,0,0,0,0,0,0.0618503466385157,0,0.126261015426254,0.403323190282125,0.0450129717283341,0.162916351415166,0,0.100903042364815,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0777706588635524,0,0.0584670671593037,-0.069927880307559,0.0441528162926317,0.127726646888705,-0.0715535159975178,-0.0566468094298256,0.221064663561293,-0.071856728273812,-0.0981346930895751,-0.0343841157460985,0.22612647235787,0.0149392162295939,-0.100208716731994,-0.0709513775592648,-0.0184739377253369,0.0236597974187812,-0.0354756143971802,0.000261933251190367,0.292769007350948,0.0673125360010454,0.00510570555472647,0.227731726539953,-0.0275181327458656,0.0376934831570464,0.00301621220173585,0.016418503708133,0.159386591065938,0.0113542470707878,0.0034082787675916,0.0049483791294375,0.0210471702304455,0.00977335979984272,0.0177336007525317,0.305954366794312,-0.170369690478721,-0.00348457752366622,-0.00342829720683128,-0.0601138614927751,0.0656287338015422,-0.00111499604009124,0.116361761941237,-0.0219078632918063
"hsa-miR-376b-3p",0,0,0.117539739027458,0.14331252093089,0,0,0.094827802915148,0.0786932502394251,0.0793999787560765,0.109846967634022,0,0.090244969556391,0,0,0,0,0,0,0,0.0814136916018559,0,0.0739075684773915,0.100873960742972,0,0,0,0,0,0,0,0.0838593015229322,0,0.061800091271276,0,0,0.0847771631971017,0.0901825864309676,0,0,0,0.111072286672594,0,0,0,0,0.256087651053981,0,0,0,0,0,0,0,0,0,0,0,0.18574273295648,0,0,0.0109603495815006,0.100776800713298,0.268649387768503,0.00135600952080338,0.0251278491493002,0.00619483839681521,-0.00267274067088385,-0.0504601013492187,0.00214669559894435,0.00685043267664256,0.0256475456751749,0.208358210782516,0.0407269748237667,0.0402751566998037,0.0855918487647565,-0.0121836182589269,0.221732815172426,-0.0167755625126065,-0.00841907726813984,0.0172994564151326,0.0378285725809779,-0.00364247715400898,0.0488115063042869,0.255548699864072,0.0244458969040298,-0.020451793163635,-0.0193150040167018,0.021101543474253,0.0188663489809173,0.0327750190445136,-0.00730594243358675,0.0313058682249194,-0.00829671223505586,-0.0735107341099688,0.0115460709942103,0.0308067031325202,0.0156741873775795,0.074800740630854,-0.0142957355774026,-0.00648268747493716,0.00847975101893678
"hsa-miR-3617-5p",0.0684912072508621,0,0.122934663685809,0.0510644747506713,0,0,0.141344939940331,0.145226867675656,0,0.068288340301041,0,0.0585878872848916,0.074989324471571,0,0.0529076169622744,0.125310768074416,0.100030454085156,0.0744522931307714,0,0.065652588710862,0,0.090957839694434,0.173092448625548,0,0.0562298138648887,0.0732637994848128,0,0,0.0808609571722408,0,0.143896871221888,0,0.224308499809068,0,0,0.095556591105921,0,0,0,0,0.054662433436583,0.135992794668714,0,0,0,0.235709465276733,0,0,0,0,0,0,0,0,0.102934743125675,0,0,0.0525132194035415,0.058683663225527,0.0848412252969595,0.0298768401787665,0.036377295490151,0.0224039138294648,0.0268898801779561,0.0281818044891472,0.0271926151405105,0.0333136082483007,-0.0161267340508118,0.0318526010581936,0.0316105436077409,0.0548535851722992,0.0251310540963832,0.0817625638796033,0.0518168527838115,0.0145145394173265,0.0251766174399237,0.0291073102733633,-0.0224465123755026,0.0461057055683687,0.0446739325603465,0.142410812430722,0.112730036951624,0.0201418879831229,0.139976173951807,0.0545631359347489,0.0263658360267007,0.0317054000681888,0.0431802419746359,0.0346808312703036,0.0541577843779827,0.0325666505433298,0.0530163008607668,0.0159060595565806,-0.012785684476743,0.0369645432809238,0.0478409956948583,0.0220428995821268,0.085241301503385,0.178777343922402,0.121155171119636,0.024664262274317
"hsa-miR-4286",0,0,0.0417074999649333,0.082768807002471,0.10450954265057,0,0,0.105840172909285,0,0,0,0.0309954254440601,0,0,0.0447376435524003,0.0416000733706339,0,0,0.140365109129339,0,0,0.0286806153166317,0.057835219388572,0,0,0.0468922348226165,0,0,0.0473513959589325,0,0,0.255589098150366,0,0.178348835842337,0,0,0,0,0,0,0.0498147664283721,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.041490212502442,0,0.0382196898584594,-0.0496202329330916,0.0834300292733838,0.0434922013656637,-0.0586151525814769,-0.0136964675856664,-0.0422885894661789,0.143464771191459,-0.113097786851518,-0.0458747039498801,-0.0613702866153754,-0.0339361602720911,-0.120099417905889,-0.13315596423989,-0.032110285965759,0.234455838649756,-0.0627918709703169,-0.0133252264931453,0.0196196741015994,0.0287674239672904,0.0006534092262111,0.167670304833801,-0.0792184306141785,-0.0225506375798538,-0.0193846287138228,0.00302063968810647,-0.0415784736290981,0.195639244138678,0.00148900378987448,0.0228630230597477,0.00415236728085468,-0.00584073494269343,-0.000963992406658029,0.179117137194682,0.0393110674470288,-0.00850328085366106,-0.00650705043653792,0.244932501013508,0.175430500433881,-0.064142263982694,0.126355955676564,-0.0342876146116425
"hsa-miR-3928-3p",0.0779036748462621,0,0.101178104103151,0.0684822292882288,0,0.0790775008156973,0.113695103493176,0,0,0.0915893483115289,0,0.134781676777124,0.0964317661839262,0,0.0849359494630623,0.146498764477946,0,0.0531240297398126,0.072643330911719,0.119762742967998,0.0923135391375527,0.105344486353083,0.0455437828976344,0,0.095225422765012,0.0620467493904139,0,0.105678081949254,0.0925616417341465,0,0.0838593015229322,0,0.0815795822325275,0,0,0.0847771631971017,0.0696831554005461,0,0,0,0,0,0,0,0,0.0944242870530725,0,0,0,0,0,0,0,0,0,0.0564577702680265,0.0362335505341089,0,0.0542897957854879,0.0584670671593037,-0.00724246746306802,0.121929967575467,0.0304715127040988,-0.000444081961353443,0.00241056336325166,0.0256345592141665,0.00532361342577346,0.0459664701646755,0.0203818210717907,0.0102398155080734,0.0360676865284396,0.161765270274195,0.0626901616437583,0.0440642087403986,0.19392064390326,-0.00626633345693285,-0.00672666776635588,-0.0420412983789829,-0.0258796406125243,0.0215925170951046,0.0220460925415484,0.0741144017715686,-0.027028018572303,0.166518461376616,0.00416245589145357,-0.045512026551508,-0.0459321911251155,-0.0164007496085845,-0.00168024681795419,0.00205273967960976,0.137625738953961,0.123244587527967,-0.0190095994271475,0.0299322966895287,0.0230154846772809,-0.000530048590100153,0.0144320849019382,0.159530354081787,0.137896238219442,-0.0450823426266899,0.0170608217597108
"hsa-miR-221-5p",0,0,0.0704682785723924,0.0684822292882288,0,0,0,0,0.124990616025009,0.068288340301041,0,0.0781874758396734,0,0,0.0365003714712305,0.0731135047826346,0.118889526086784,0.0444637025365283,0,0.0696162142073791,0.0523334187119846,0.0312476114377034,0.0843560638753603,0,0.0562298138648887,0.0657997637094957,0,0,0.0761420786227339,0,0.0776524346993301,0,0.107357992374975,0.109683703463409,0,0,0.0850969901548712,0,0,0,0,0,0,0,0,0.0557476313018311,0,0,0,0,0,0.108428516598359,0,0,0,0,0,0.0954289290832866,0,0.0848412252969595,0.190656505516432,-0.0187569489264926,0.108905310635505,0.0138595908868694,0.00788550194725117,-0.0046159816185577,0.0126056429710753,-0.0166374022543278,0.0137780665643736,-0.00712846049171199,0.0241117114882154,-0.0485720986932941,0.0900635143639437,0.0305436572345145,0.114235785755495,0.00397184752350924,-0.0114968768916065,0.0682019098224633,0.0336819822378109,-0.00526385773740217,0.196131757508255,0.052369823018002,0.0245343338910005,0.122575680007196,0.00782433649846002,-0.015114631531715,0.00501824485435513,0.203239640360643,0.00100624598462405,0.00866970809985154,-0.00692827869677507,0.00910057961584952,0.157247706145263,0.0425576347092087,0.0140971974639406,0.00829799199352742,-0.00536538531353691,0.0267490090130004,-0.0107234534758666,0.0290348522256726,0.00229272202939606
"hsa-miR-192-5p",0,0,0,0,0,0,0,0,0,0,0,0.0360691973986052,0,0.0650944794422857,0,0.0416000733706339,0,0,0.0667872549410595,0,0,0,0,0,0,0,0,0,0.0252010222942536,0,0,0.319816873257369,0.0416214640603907,0.0592242864625192,0.126502338626157,0,0.0644919575462177,0,0,0,0,0,0,0,0.116494254425581,0.0557476313018311,0,0.117872687255734,0,0.163415699732402,0,0.144470063935406,0,0,0,0.0655651064220775,0.0362335505341089,0.0451780653681757,0.162688402091497,0.11370373887693,-0.0583715592055501,-0.0285021181314673,0.457841337656577,-0.0516715866057703,-0.0317300311238047,-0.0546736559426323,-0.0457983643761808,-0.022638114745474,0.000900641424330613,0.484920782144544,0.289480072199139,0.0389835489134605,-0.00612208499096072,0.0214236700410349,-0.00289834974855865,-0.0452120358405538,-0.00594536787304464,0.00958844035453141,-0.0298721581826944,-0.00715398554014071,0.0897973621910091,0.001313983985015,-0.00637647645053963,-0.00391414835302658,-0.0386993056991135,0.00668990125023173,0.0107682056705236,-0.0137732049158426,0.00147574475933921,-0.0373951198505417,-0.0085122367764009,0.105511435802266,0.0794742170619444,0.109576832910759,0.000344452595794286,-0.0526033814116439,-0.0254876734644261,-0.00914042746167439,-0.0119577435149751,0.0822532088606689,0.594955038579529
"hsa-miR-940",0,0,0.0761224881862332,0.0884267740082062,0,0.0620372057953344,0.0559904776877181,0,0,0,0,0.0309954254440601,0,0.0650944794422857,0.0419994184610655,0,0,0,0,0,0,0.102961039305382,0.0795861138546371,0,0.0661222019315197,0.0732637994848128,0,0,0.0972038490990422,0.119011870913015,0,0,0.0684368197909929,0.0931451978474451,0.133901640597458,0,0.0901825864309676,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0848714283120547,0,0,-0.00269558673017734,0.0993693077459249,-0.0140531519015339,-0.00507254142843172,0.0038042850711324,0.00049674453012921,-0.00645089045390483,-0.0331615142120828,-0.000694237554845923,-0.00459802042485395,0.00604077172461432,0.0068872156579593,0.00327600838515886,0.207975109601822,0.144697970283138,-0.030160804069453,-0.027852302601096,0.00710745879688474,0.0491411042004774,0.00774590704897795,0.0607853864461683,-0.0294764284987506,0.0498464785402235,0.100825674586443,-0.00387808520703037,-0.033240353994684,0.181137836518355,-0.00548808100145349,0.011503794601726,-0.00241390473260172,-0.0249181435180423,-0.000186802517098005,-0.0263432340782281,0.0233504659845791,0.00868025024033044,-0.000760494339198123,0.00152196847607216,0.0325631190474458,0.0805639695871677,0.0541269862958599,0.0216388464417543
"hsa-miR-6087",0.378979341338735,0.321524477276645,0.17278501116485,0.345688445812992,0.526736976659449,0.18707730742651,0.364476401003269,0.634304718303843,0.243304983219427,0,0.409231241123834,0.10688488583711,0.356484605083596,0.343791888058805,0.184844201746296,0.149115975063865,0.63881711787545,0.186148912275864,0.355550449749121,0.134699841669874,0.35000223962887,0.240938749465552,0.205229413491337,0.67963248785089,0.301808935369566,0.635606880547939,0.187796872504583,0.694734004493345,0.31485319177265,0.321467271819104,0.264516648084637,0.501361142248621,0.177970990329144,0.401595496200577,0.357563308881344,0.345630840882503,0.359777476069353,0.442760849712722,0.694103094782541,0.704973206939377,0.471690535482558,0.370649212277993,2.65349827155197,0.218084504015137,0.765014163206969,0.318640062589969,0.877611651948989,0.583502759259567,0.685746023595325,0.655686331754327,0.474227475814262,0.671465704359239,0.555995989918981,0.301257864004106,0.624521704796131,0.562505954477542,0.0625723482468131,0.18574273295648,0.267618030071966,0.287376725368608,0.440235989610136,0.421060861252104,0.31604587205183,0.520951173362055,0.438770024636041,0.555111080093682,0.391655789386145,0.168333050698458,0.322920929416588,0.596323582651809,0.20017157884265,0.330446783971706,0.0113041372565873,0.228183912338053,0.175987756134746,0.869949872468662,0.310859172137543,0.124107913011397,0.493916404331357,0.566391863114812,0.313945043113878,0.416491463331071,0.542292925707381,0.460846644762944,0.438495339887781,0.688301457999645,0.542759155587797,0.698695197916136,1.26781199555442,0.62007914351778,0.606803341527271,0.27595473301345,0.444151195426551,0.577797181091093,0.498779278191893,0.215572443443647,0.671919735535172,0.227802556920196,0.172087890447705,0.575349084674783,0.597234290747382
"hsa-miR-378c",0.110166663519657,0,0.101178104103151,0.0627099542759048,0.0868425495637482,0.160177789184649,0.18143702134018,0.0923588281721366,0.0622923411665005,0.188116239889877,0,0.1752198246093,0.151460681299758,0.120263265874097,0.0796686251440785,0.156926757356767,0.137399506873097,0.0444637025365283,0.0608966832358211,0.163920904608705,0.172308726036051,0.121871423303154,0.065138210713165,0.148664743732735,0.225058559377136,0.106179215065728,0.292218189114108,0.178198094088863,0.0878977837342323,0.0927778078084682,0.102252045255344,0,0.110534066270147,0.136654199975579,0.148537993749363,0.122007505925223,0.0850969901548712,0,0,0.184300912760237,0.0690660101937242,0.110233642461611,0.173936863303787,0.123743452121104,0,0.314843102503153,0,0.136234865487027,0,0.12008870778647,0,0.165487512206154,0.191358452633741,0.179366176299554,0.168457927748457,0.254959731295827,0.0983187056655184,0.139932317377379,0.130568774115183,0.10097868671922,0.210457195264546,0.118405019051435,0.195432280759955,0.0233429808737647,0.0319433377637151,0.0299015233218009,0.0349174961614563,0.0922756885902851,0.0439032864876172,0.201161444082438,0.274536806602226,0.434660608378668,0.165254756794392,-0.00854401293501611,0.309340292832013,0.0768218614634618,0.0758147004323586,-0.0891038724286629,0.0489854535855708,0.0408190857274619,0.173308078457385,0.114127727667735,-0.0682628236497735,0.0594396965500559,0.0563149152975129,0.0730456930143994,0.0693862889510495,0.0626708606658424,0.378966332654756,0.0303736236712607,0.0731484113151669,0.338316270218976,0.0328125800674218,-0.026760720558174,0.0480078573881622,0.264288869927225,0.034225463983248,0.254392271300253,0.209937091991689,0.0787770035221826,0.0427743036055256
